français;mahorais
demander;udzisa
cacher, dissimuler;udzitsa / utsitsa
soulever, lever;udzuwa
servir;ueleshea
comprendre;uelewa
aller, marcher;uendra
mourir;ufa
comprendre;ufahamu
faire;ufanya
penser, s'imaginer;ufikiri
percer;uforoa
laver le linge;ufua
attacher;ufunga
discuter;uhadisi
écrire;uhangiha
refuser;uharaya
compter;uhasibu
sécher;uhaya
faire monter;uhedza
laisser;uhetsi / uhentsi
monter;uheya
voler;uhiba
tricher;uhibia
se lever;uhima
chanter;uhimba
appeler;uhira
finir;uhisa
se baigner;uhoa
tarder;uhoma
laver;uhosa
grandir, pousser;uhua
construire;uhundra
balayer;uhundza
cuire, mûrir;uiva
venir;uja
remplir;ujadza
péter;ujamba
être content;ujivia
savoir, connaître;ujua
être;uka
aligner;ukabili
avoir;ukana
couper;ukatra
s'asseoir;uketsi
entendre;ukia
accepter, convenir;ukiri
être malade;ukodza
tousser;ukohola
gratter, râper;ukua
être d'accord;ukubali
rassasier;ukura
couper;ukutrua
manger;ula / udya
mentir;ulaba
parler;ulagua
dormir;ulala
jeter;ulatsa
sortir;ulawa
être fatigué;ulemewa
insulter, injurier;ulihidza
cultiver;ulima
attendre;ulindra
laisser;ulisha
payer;uliva
pleurer;uliya
marier (homme);ulola
se marier (femme);ulolowa
pêcher;ulowa
avaler;umedza
détruire, abîmer;umenya
mendier;umia
se rappeler;unahana
jouer;ungadza
regarder;ungalia
entrer;ungia
sentir;unuka
acheter;ununua
boire;unwa
faire ses besoins;unya
griller;uoha
pourrir;uola
voir;uona
rêver;uora
trouver, gagner;upara
monter en voiture;upashiya
casser;upasua
allumer;upatsa
cuisiner;upiha
s'habiller;upindra
arracher, cueillir;upua
tomber;upuliha
faire tomber;upulisa
ramper;uramba
déchirer;urandua
vomir;uraviha
retourner;uregea
rendre;uregeza
frapper;urema
prendre;urenga
réparer;urengeledza
avoir peur;uria
dire;urongoa
sauter;uruka
accrocher;urungiha
piler;urwa
aider;usaidia
être coincé, être enfoncé;usama
pouvoir, battre, gagner;ushindra
traverser;ushiya
descendre;ushuka
tenir;usika
faire tenir;usikidza
presser, appuyer;usinya
lire, étudier;usoma
enseigner;usomedza
coudre;usona
sucer;usondza
peigner, tresser (cheveux);usuka
pousser;usukuma
prier;uswali
pardonner;uswamihi
planter;utabu
se promener;utembeya
imiter;utiba
enlever;utoa
s'enfuir;utrala
mettre, verser;utria
vouloir;utsaha
choisir;utsahua
mâcher;utsana
rire;utseha
écraser;utsera
creuser;utsimba
renverser;utsomoa
espionner;utsungia
étudier;utwali
vendre;uudza
donner;uva
peindre / se maquiller;uvaha
envoyer;uveleha
aimer;uvendza
plier;uvera
peser;uvima
apporter, conduire;uvinga
passer;uvira
guérir;uvona
brûler;uvua
allumer;uvudza
croquer;uvuhura
écouter;uvulikia
récolter;uvuna
tirer;uvura
lancer;uvutsa
se battre;uwana
tuer;uwula
nager;uyela
détester;uyenga
rester;uzia
effacer, éteindre;uzima
danser;uzina
chercher;uzunguha
Beau-père;Bamouhé
Beau-frère;valahi
Beau-frère;vali
tête ;shitswa
langue ;ilime 
bouche ;hanyo
oreille; kio 
jambe ;mundru 
cuisse ;paja 
fesse ;muvumo
épaule; bega
main; muhono 
paume; pi la muhono
poitrine; shifuba
sein ;bele
visage;uso 
menton; shilevu
front; komo 
nez ;pua
cou ;tsingo 
pied; mundru
talon ;karo 
orteil ;kofu  za mindru
bras ;muhono 
ventre; mimba
dos; mengo 
oeil ;dzitso 
sourcil; tsi
joue ;savu
cheveu ;nyole 
dent ;dzinyo
doigt; sha
genoux; gunguni 
ongle; kofu 
narine ;pembe
lèvre ;domu
nombril ;trutru 
 têtes ;zitswa
langues; malime
 bouches ;zi hanyo
oreilles ;makio
jambes; mindru
cuisses ;mavaja
 fesses; mivumo
 épaules; mabega
mains; mihono
 paumes; mavi ya muhono
 poitrines; zifuba
 seins; mabele
visages; mauso
 mentons ;zilevu
fronts; mikomo
 nez; mapua
cous ;matsingo
 pieds; mindru
talons; mikaro
 orteils ;mikofu za mindru
bras; mihono
 ventres ;mimba nyengi
dos ;zimengo
yeux; matso
sourcils; matsi
 joues; masavu
cheveux ;nyele
dents; manyo
 doigts; zisha
genoux ;magunguni
ongles; mikofu
 narines; mavembe
 lèvres; malomo
nombrils; mitrutru
ananas; nanasi
avocat ;zavuka
banane verte; trovi (-)
banane mûre ;sindza(-ma)
citron; ndrimu
coco (sec); nadzi
coco à boire (vert); shijavu
cœur de boeuf ; roho ya nyombe
corossol ; konokono
fruit du baobab buyu;
goyave;  pwera
grenade ; trundra la pevoni
jaque ; fenesi
jamblon ; zambarao
letchi ;litshi
mandarine; balandzi
mangue ;manga
mangue mûre; djoro
melon;trango
orange; trundra
papaye ;papaya
pastèque ;trango maji
pomme; pomu
pomme cannelle (zatte) ; konokono
raisin; zabibu
tamarin; uhaju
Appeler; Uhira
S’appeler; Uhiriwa
Apprendre; Usoma
Dire; Urongoa
Demander; Udzisa
Parler; Ulagua
Faire; Ufanya
Pouvoir; Ushindra
Prendre; Urenga
Aller; Uendra
Arriver; Uaswili
 quitter; Ulawa
Partir; Ulawa
sortir; Ulawa
Ugiya ; uregea
Rentrer; uregea
Descendre en ville; Ushuka mjini
Avaler ;Umedza
Boire ;Unwa
Manger; Ula
Couper; Ukatra
Se lever; Uhima
Coucher ;Uladza
Dormir ;Ulala
Se laver; Udjihosa
S’habiller; Upindra
Se déshabiller ;Utsua
Marcher ; Uendra ha mundru
Sauter ;Uruka
Courir; Uendra m’bio
Danser; Uzina
Se mettre debout; Uhime
Baisser; Ushukidza
Suivre; Udunga
Tourner ;Uzinga
Nager; Uela
Acheter; Ununua
Choisir; Utsahua
Payer; Uliva
Peser; Uvima
Déposer; Uhetsi
remplir; Ujadza
Compléter; Ujadza
arbre; mwiri
archipel; masiwa
barge;barji
barrière de corail;mwanba
bâtiment;jumba
canne à sucre; muwa
champ;shamba
chemin;ndzia
rue;ndzia
continent;bara
cyclone;daruba
forêt;miri
frontière;mipaka
île;shisiwa
lac;dzia
maison;nyumba
montagne;mulima
pays;tsi
plage;mutsangani
sable;mutsanga
rivière;muro
route;pare
ville;dago
village;dago
colère;hasira
tristesse;hamu
joie;raha
plaisir;raha
peur;trisidzo
trembler;udridrima
seconde;nukta
minute;dakika
heure;sa
matin;asubuhi
maintenant;avasa
honte;haya
nid;kara
pilon;mtsi
flèche;tshora
lance;tshora
tempête;dharuba
crabe;dradraka
esprit;djini
moustique;mbu
oiseau;nyantsole
éléphant;ndovu
mouche;ndzi
trou;ngama
diarrhée;bwiri
santé;swiha
khôl;gwena
